Source,Destination,WeightFunction,ProbabilityModel,Amount,Success,PathLength,TotalFee,TotalHopCost,Path,Retries,PathPe
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,CLN,N/A (capacity bias),1648552.815532,true,3,18.000000,120.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba -> 031e41426d7ac75496d090a92f778d89edcff3bedc36db913b0975cbf112ff5283 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.162312
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,LDK,bimodal,1648552.815532,true,3,18.000000,120.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba -> 031e41426d7ac75496d090a92f778d89edcff3bedc36db913b0975cbf112ff5283 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.162312
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,LND,bimodal,1648552.815532,true,3,1731.303145,98.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5 -> 03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.474942
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,Combined,uniform,1648552.815532,true,3,18.000000,120.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba -> 031e41426d7ac75496d090a92f778d89edcff3bedc36db913b0975cbf112ff5283 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.375220
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,Eclair,uniform,1648552.815532,true,3,18.000000,120.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba -> 031e41426d7ac75496d090a92f778d89edcff3bedc36db913b0975cbf112ff5283 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.375220
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,CLN,N/A (capacity bias),1648552.815532,true,3,18.000000,120.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba -> 031e41426d7ac75496d090a92f778d89edcff3bedc36db913b0975cbf112ff5283 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.375220
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,LDK,uniform,1648552.815532,true,3,18.000000,120.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba -> 031e41426d7ac75496d090a92f778d89edcff3bedc36db913b0975cbf112ff5283 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.375220
03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb,02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,LND,uniform,1648552.815532,true,3,1691.625595,98.000000,03edd230fb182ac18d0595821107553cfc400275f1ec1a1fae43fd2c1fa391e7fb -> 034ea80f8b148c750463546bd999bf7321a0e6dfc60aaf84bd0400a2e8d376c0d5 -> 0303a518845db99994783f606e6629e705cfaf072e5ce9a4d8bf9e249de4fbd019 -> 02d2f693212fc525ad1a4d7546c2f24b96a8c002b8567c49fee744569a4abc6c99,1,0.802482
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,Combined,bimodal,1158062.092064,false,0,0.000000,0.000000,,0,0.034943
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,Eclair,bimodal,1158062.092064,false,0,0.000000,0.000000,,0,0.062679
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,CLN,N/A (capacity bias),1158062.092064,false,0,0.000000,0.000000,,0,0.030933
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,LDK,bimodal,1158062.092064,false,0,0.000000,0.000000,,0,0.036719
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,LND,bimodal,1158062.092064,false,0,0.000000,0.000000,,0,0.107987
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,Combined,uniform,1158062.092064,false,0,0.000000,0.000000,,0,0.315857
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,Eclair,uniform,1158062.092064,false,0,0.000000,0.000000,,0,0.315857
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,CLN,N/A (capacity bias),1158062.092064,false,0,0.000000,0.000000,,0,0.114202
032751ef94ab2f55a22f7177cecd0617ad1be25c4f8e2c6fd005201fe3549b8900,0316e0f1239c69c22be8efd4fa9e092846497f39a0da264ae088de0a1d1b50f906,LDK,uniform,1158062.092064,false,0,0.000000,0.000000,,0,0.114202
