Source,Destination,Weight Function,Path Length,Total Fee,Total Hop Cost,Path
0377f4de9bb4a46f5acd9a26e3135df90c61c79b9341d6d4e2ca36fd0e468ccd16,037807983e97158ebb671df6c537ccb123dd8ef61bd4fd9f936d343c81300d6eb0,Combined,6,39.848818,234.000000,0377f4de9bb4a46f5acd9a26e3135df90c61c79b9341d6d4e2ca36fd0e468ccd16 -> 025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5 -> 0286f3de56f3cd0d47698e92a6cc05c7507cd25c5c0617e444cb569e27c2275d49 -> 0242a4ae0c5bef18048fbecf995094b74bfb0f7391418d71ed394784373f41e4f3 -> 031bea0d812673900bb9249eab6dd98aebadd750e22f4f750142e05b0a113aebf0 -> 02a1d2856be336a58af08989aea0d8c41e072ccc392c46f8ce0e6e069f002035f3 -> 037807983e97158ebb671df6c537ccb123dd8ef61bd4fd9f936d343c81300d6eb0
020e8b85b07794c1150051601b043e074888bd873fa3c9c356c21c296d10f73545,03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f,LND,7,9.794133,280.000000,020e8b85b07794c1150051601b043e074888bd873fa3c9c356c21c296d10f73545 -> 03dc8f04a944b498caca1bd666d09184d5a180a50818316ea447508a5940800b40 -> 03c820079c625f2e66504d9a12bc69f7228eba177d7e0f12e958626e6c8e3fdd40 -> 026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93 -> 0326e2067d2a24b738a419f8dcfdc5956d7a399e3566f0ad52923343bff57d7759 -> 02ee6c2cd1a8abf7eec1fc55f8fa41d307e216c9738ae743ba72f86007d9c6a179 -> 0372bd00e7c43efd583623d8fa688141b91e00d0ad65b29b630bf7188804da50aa -> 03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f
020e8b85b07794c1150051601b043e074888bd873fa3c9c356c21c296d10f73545,03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f,Eclair,7,9.794133,280.000000,020e8b85b07794c1150051601b043e074888bd873fa3c9c356c21c296d10f73545 -> 03dc8f04a944b498caca1bd666d09184d5a180a50818316ea447508a5940800b40 -> 03c820079c625f2e66504d9a12bc69f7228eba177d7e0f12e958626e6c8e3fdd40 -> 026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93 -> 0326e2067d2a24b738a419f8dcfdc5956d7a399e3566f0ad52923343bff57d7759 -> 02ee6c2cd1a8abf7eec1fc55f8fa41d307e216c9738ae743ba72f86007d9c6a179 -> 0372bd00e7c43efd583623d8fa688141b91e00d0ad65b29b630bf7188804da50aa -> 03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f
020e8b85b07794c1150051601b043e074888bd873fa3c9c356c21c296d10f73545,03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f,Combined,7,9.794133,280.000000,020e8b85b07794c1150051601b043e074888bd873fa3c9c356c21c296d10f73545 -> 03dc8f04a944b498caca1bd666d09184d5a180a50818316ea447508a5940800b40 -> 03c820079c625f2e66504d9a12bc69f7228eba177d7e0f12e958626e6c8e3fdd40 -> 026db2cbf3d8ab4a4c01eed2df432d20cf0a13136402097574209d2595cb9e9d93 -> 0326e2067d2a24b738a419f8dcfdc5956d7a399e3566f0ad52923343bff57d7759 -> 02ee6c2cd1a8abf7eec1fc55f8fa41d307e216c9738ae743ba72f86007d9c6a179 -> 0372bd00e7c43efd583623d8fa688141b91e00d0ad65b29b630bf7188804da50aa -> 03151c3e5d350d14b4c9e0a1faab06a9549f962fc6e1b45753bd1da3765aa8d42f
03a898b7cca3265ae4ca28b7025e170cbc1e7f97bdc4480fa28d2a855c88c85985,02aaaa04fc00f3759ba0475c653b159b9c202c1af2218414b38d6211f317155511,LND,4,13.338398,160.000000,03a898b7cca3265ae4ca28b7025e170cbc1e7f97bdc4480fa28d2a855c88c85985 -> 0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266 -> 02d150bbf82ead78b66804d5201b9ed2b9ee6fc4a5af4483c3ab452918ef0d7b75 -> 035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226 -> 02aaaa04fc00f3759ba0475c653b159b9c202c1af2218414b38d6211f317155511
03a898b7cca3265ae4ca28b7025e170cbc1e7f97bdc4480fa28d2a855c88c85985,02aaaa04fc00f3759ba0475c653b159b9c202c1af2218414b38d6211f317155511,Eclair,4,13.338398,160.000000,03a898b7cca3265ae4ca28b7025e170cbc1e7f97bdc4480fa28d2a855c88c85985 -> 0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266 -> 02d150bbf82ead78b66804d5201b9ed2b9ee6fc4a5af4483c3ab452918ef0d7b75 -> 035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226 -> 02aaaa04fc00f3759ba0475c653b159b9c202c1af2218414b38d6211f317155511
03a898b7cca3265ae4ca28b7025e170cbc1e7f97bdc4480fa28d2a855c88c85985,02aaaa04fc00f3759ba0475c653b159b9c202c1af2218414b38d6211f317155511,Combined,4,13.338398,160.000000,03a898b7cca3265ae4ca28b7025e170cbc1e7f97bdc4480fa28d2a855c88c85985 -> 0217890e3aad8d35bc054f43acc00084b25229ecff0ab68debd82883ad65ee8266 -> 02d150bbf82ead78b66804d5201b9ed2b9ee6fc4a5af4483c3ab452918ef0d7b75 -> 035e4ff418fc8b5554c5d9eea66396c227bd429a3251c8cbc711002ba215bfc226 -> 02aaaa04fc00f3759ba0475c653b159b9c202c1af2218414b38d6211f317155511
037c7a83b868a8d88ff1ff6ba6b97a98e4aeaa27d47768012d82218c4f6f2d9293,03e478c9db9977928581758456eaa65c2ddbee1eb6184010dbc30fbaaae361ed6b,LND,6,128.170000,344.000000,037c7a83b868a8d88ff1ff6ba6b97a98e4aeaa27d47768012d82218c4f6f2d9293 -> 03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237 -> 027faad6351fe3fffbe1c3bf6343aad3c467fcf271ec06deec546885f128c42bc8 -> 02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c -> 03120004256bed6a75fe202ce9c16d18486eadcc09f3f5c4268671fdd01edd1b68 -> 02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c -> 03e478c9db9977928581758456eaa65c2ddbee1eb6184010dbc30fbaaae361ed6b
037c7a83b868a8d88ff1ff6ba6b97a98e4aeaa27d47768012d82218c4f6f2d9293,03e478c9db9977928581758456eaa65c2ddbee1eb6184010dbc30fbaaae361ed6b,Eclair,6,128.170000,344.000000,037c7a83b868a8d88ff1ff6ba6b97a98e4aeaa27d47768012d82218c4f6f2d9293 -> 03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237 -> 027faad6351fe3fffbe1c3bf6343aad3c467fcf271ec06deec546885f128c42bc8 -> 02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c -> 03120004256bed6a75fe202ce9c16d18486eadcc09f3f5c4268671fdd01edd1b68 -> 02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c -> 03e478c9db9977928581758456eaa65c2ddbee1eb6184010dbc30fbaaae361ed6b
037c7a83b868a8d88ff1ff6ba6b97a98e4aeaa27d47768012d82218c4f6f2d9293,03e478c9db9977928581758456eaa65c2ddbee1eb6184010dbc30fbaaae361ed6b,Combined,6,128.170000,344.000000,037c7a83b868a8d88ff1ff6ba6b97a98e4aeaa27d47768012d82218c4f6f2d9293 -> 03886b18969fd197358b66b6ab9bac2d5e32bb4e5157925bc0292acb3893a47237 -> 027faad6351fe3fffbe1c3bf6343aad3c467fcf271ec06deec546885f128c42bc8 -> 02004c625d622245606a1ea2c1c69cfb4516b703b47945a3647713c05fe4aaeb1c -> 03120004256bed6a75fe202ce9c16d18486eadcc09f3f5c4268671fdd01edd1b68 -> 02a04446caa81636d60d63b066f2814cbd3a6b5c258e3172cbdded7a16e2cfff4c -> 03e478c9db9977928581758456eaa65c2ddbee1eb6184010dbc30fbaaae361ed6b
